requirement_id,reference_sequence,reference_text,source_page_start,source_page_end
IA.L2-3.5.9,1,NIST SP 800-171 Rev. 2 3.5.9,138,139
IA.L2-3.5.10,1,NIST SP 800-171 Rev. 2 3.5.10,140,141
IA.L2-3.5.11,1,NIST SP 800-171 Rev. 2 3.5.11,142,143
IR.L2-3.6.1,1,NIST SP 800-171 Rev. 2 3.6.1,144,146
IR.L2-3.6.2,1,NIST SP 800-171 Rev. 2 3.6.2,147,149
IR.L2-3.6.3,1,NIST SP 800-171 Rev. 2 3.6.3,150,151
MA.L2-3.7.1,1,NIST SP 800-171 Rev. 2 3.7.1,152,153
MA.L2-3.7.2,1,NIST SP 800-171 Rev. 2 3.7.2,154,155
MA.L2-3.7.3,1,NIST SP 800-171 Rev. 2 3.7.3,156,157
MA.L2-3.7.4,1,NIST SP 800-171 Rev. 2 3.7.4,158,159
MA.L2-3.7.5,1,NIST SP 800-171 Rev. 2 3.7.5,160,162
MA.L2-3.7.6,1,NIST SP 800-171 Rev. 2 3.7.6,163,164
MP.L2-3.8.1,1,NIST SP 800-171 Rev. 2 3.8.1,165,166
MP.L2-3.8.2,1,NIST SP 800-171 Rev. 2 3.8.2,167,168
MP.L2-3.8.3,1,NIST SP 800-171 Rev. 2 3.8.3,169,170
MP.L2-3.8.3,2,FAR Clause 52.204-21 b.1.vii,169,170
MP.L2-3.8.4,1,NIST SP 800-171 Rev. 2 3.8.4,171,172
MP.L2-3.8.5,1,NIST SP 800-171 Rev. 2 3.8.5,173,174
MP.L2-3.8.6,1,NIST SP 800-171 Rev. 2 3.8.6,175,176
MP.L2-3.8.7,1,NIST SP 800-171 Rev. 2 3.8.7,177,178
MP.L2-3.8.8,1,NIST SP 800-171 Rev. 2 3.8.8,179,180
MP.L2-3.8.9,1,NIST SP 800-171 Rev. 2 3.8.9,181,182
PS.L2-3.9.1,1,NIST SP 800-171 Rev. 2 3.9.1,183,184
PS.L2-3.9.2,1,NIST SP 800-171 Rev. 2 3.9.2,185,187
PE.L2-3.10.1,1,NIST SP 800-171 Rev. 2 3.10.1,188,189
PE.L2-3.10.1,2,FAR Clause 52.204-21 b.1.viii,188,189
PE.L2-3.10.2,1,NIST SP 800-171 Rev 2 3.10.2,190,191
PE.L2-3.10.3,1,NIST SP 800-171 Rev. 2 3.10.3,192,193
PE.L2-3.10.3,2,FAR Clause 52.204-21 Partial b.1.ix,192,193
PE.L2-3.10.4,1,NIST SP 800-171 Rev. 2 3.10.4,194,195
PE.L2-3.10.4,2,FAR Clause 52.204-21 Partial b.1.ix,194,195
PE.L2-3.10.5,1,NIST SP 800-171 Rev. 2 3.10.5,196,197
PE.L2-3.10.5,2,FAR Clause 52.204-21 Partial b.1.ix,196,197
PE.L2-3.10.6,1,NIST SP 800-171 Rev. 2 3.10.6,198,199
RA.L2-3.11.1,1,NIST SP 800-171 Rev. 2 3.11.1,200,202
RA.L2-3.11.2,1,NIST SP 800-171 Rev. 2 3.11.2,203,205
RA.L2-3.11.3,1,NIST SP 800-171 Rev. 2 3.11.3,206,207
CA.L2-3.12.1,1,NIST SP 800-171 Rev. 2 3.12.1,208,210
CA.L2-3.12.2,1,NIST SP 800-171 Rev. 2 3.12.2,211,213
CA.L2-3.12.3,1,NIST SP 800-171 Rev. 2 3.12.3,214,215
CA.L2-3.12.4,1,NIST SP 800-171 Rev. 2 3.12.4,216,218
